Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00006,-0.14634,0.00000,0.00000,-0.00180
0.10000,0.00173,1.98083,0.00000,0.00000,0.02442
0.20000,0.00753,4.03835,0.00000,0.00001,0.04978
0.30000,0.01363,6.31576,0.00000,0.00001,0.07786
0.40000,0.01949,8.70708,0.00000,0.00001,0.10734
0.50000,0.02469,10.99191,0.00000,0.00002,0.13550
0.60000,0.03001,12.41571,0.00000,0.00001,0.15305
0.70000,0.03498,13.85116,0.00000,0.00001,0.17075
0.80000,0.04006,15.75107,0.00000,0.00001,0.19417
0.90000,0.04490,17.33129,0.00000,0.00001,0.21365
1.00000,0.05010,18.72181,0.00000,0.00001,0.23079
1.10000,0.05495,20.56849,0.00000,0.00001,0.25356
1.20000,0.06009,21.29751,0.00000,0.00001,0.26254
1.30000,0.06493,21.85447,0.00000,0.00001,0.26941
1.40000,0.07001,22.62808,0.00000,0.00001,0.27895
1.50000,0.07498,23.94536,0.00000,0.00001,0.29518
1.60000,0.08012,26.39082,0.00000,0.00001,0.32533
1.70000,0.08496,28.91639,0.00000,0.00001,0.35646
1.80000,0.09004,30.65268,0.00000,0.00001,0.37787
1.90000,0.09495,32.06457,0.00000,0.00001,0.39527
2.00000,0.10009,33.63997,0.00000,0.00001,0.41469
2.10000,0.10505,35.09890,0.00000,0.00001,0.43268
2.20000,0.11001,36.68314,0.00000,0.00001,0.45221
2.30000,0.11503,38.83106,0.00000,0.00001,0.47869
2.40000,0.11994,41.17356,0.00000,0.00000,0.50756
2.50000,0.12508,42.15570,0.00000,0.00000,0.51967
2.60000,0.12998,43.52087,0.00000,0.00000,0.53650
2.70000,0.13506,44.74981,0.00000,-0.00001,0.55165
2.80000,0.13991,45.45298,0.00000,-0.00001,0.56032
2.90000,0.14505,47.02027,0.00000,-0.00001,0.57964
3.00000,0.14995,49.49833,0.00000,-0.00002,0.61019
3.10000,0.15515,51.75749,0.00000,-0.00002,0.63804
3.20000,0.15994,54.44171,0.00000,-0.00002,0.67113
3.30000,0.16508,57.29579,0.00000,-0.00002,0.70631
3.40000,0.16992,60.49898,0.00000,-0.00002,0.74580
3.50000,0.17506,65.75465,0.00000,-0.00002,0.81058
3.60000,0.17997,71.28528,0.00000,-0.00003,0.87876
3.70000,0.18505,78.15402,0.00000,-0.00003,0.96344
3.80000,0.18995,84.68028,0.00000,-0.00003,1.04389
3.90000,0.19503,89.66172,0.00000,-0.00004,1.10530
4.00000,0.20000,94.70158,0.00000,-0.00004,1.16743
4.10000,0.20502,100.38180,0.00000,-0.00004,1.23745
4.20000,0.20998,105.42606,0.00000,-0.00005,1.29963
4.30000,0.21500,110.73744,0.00000,-0.00005,1.36511
4.40000,0.22003,115.89417,0.00000,-0.00006,1.42868
4.50000,0.22505,125.96697,0.00000,-0.00006,1.55285
4.60000,0.23001,139.02560,0.00000,-0.00006,1.71383
4.70000,0.23497,155.08515,0.00000,-0.00006,1.91180
4.80000,0.24005,172.63138,0.00000,-0.00006,2.12810
4.90000,0.24502,190.86751,0.00000,-0.00006,2.35290
5.00000,0.25010,210.93397,0.00000,-0.00006,2.60027
5.10000,0.25500,232.00109,0.00000,-0.00005,2.85997
5.20000,0.26008,257.27686,0.00000,-0.00005,3.17156
5.30000,0.26499,284.29835,0.00000,-0.00004,3.50466
5.40000,0.27013,313.56309,0.00000,-0.00003,3.86542
5.50000,0.27497,344.80961,0.00000,-0.00002,4.25061
5.60000,0.28005,379.03059,0.00000,-0.00001,4.67247
5.70000,0.28490,413.34787,0.00000,0.00000,5.09551
5.80000,0.29010,452.89719,0.00000,0.00002,5.58305
5.90000,0.29500,491.30716,0.00000,0.00004,6.05655
6.00000,0.30008,533.17309,0.00000,0.00006,6.57265
6.10000,0.30493,576.35740,0.00000,0.00008,7.10500
6.20000,0.31001,619.34874,0.00000,0.00010,7.63497
6.30000,0.31491,664.98639,0.00000,0.00012,8.19756
6.40000,0.32005,710.25803,0.00000,0.00014,8.75565
