Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00006,-0.34588,0.00000,0.00000,-0.00403
0.10000,0.00167,1.57034,0.00000,0.00000,0.01829
0.20000,0.00735,10.17293,0.00000,0.00000,0.11845
0.30000,0.01357,13.76661,0.00000,0.00001,0.16030
0.40000,0.01943,16.99319,0.00000,0.00001,0.19787
0.50000,0.02469,18.70178,0.00000,0.00001,0.21776
0.60000,0.03001,20.21213,0.00000,0.00002,0.23535
0.70000,0.03498,21.38397,0.00000,0.00001,0.24900
0.80000,0.04006,22.91335,0.00000,0.00001,0.26680
0.90000,0.04496,23.80770,0.00000,0.00001,0.27722
1.00000,0.05004,25.78304,0.00000,0.00001,0.30022
1.10000,0.05495,27.96786,0.00000,0.00002,0.32566
1.20000,0.06009,31.31412,0.00000,0.00001,0.36462
1.30000,0.06499,33.93605,0.00000,0.00003,0.39515
1.40000,0.07001,35.60893,0.00000,0.00002,0.41463
1.50000,0.07498,39.15447,0.00000,0.00003,0.45592
1.60000,0.08006,40.95950,0.00000,0.00003,0.47693
1.70000,0.08508,43.31141,0.00000,0.00002,0.50432
1.80000,0.08998,45.39796,0.00000,0.00003,0.52862
1.90000,0.09501,46.73854,0.00000,0.00002,0.54423
2.00000,0.09997,49.45974,0.00000,0.00003,0.57591
2.10000,0.10517,50.45606,0.00000,0.00003,0.58751
2.20000,0.10995,53.16006,0.00000,0.00002,0.61900
2.30000,0.11509,55.12264,0.00000,0.00003,0.64185
2.40000,0.11988,57.07322,0.00000,0.00002,0.66456
2.50000,0.12508,59.40971,0.00000,0.00003,0.69177
2.60000,0.12992,62.12295,0.00000,0.00002,0.72336
2.70000,0.13512,65.38152,0.00000,0.00002,0.76131
2.80000,0.13991,69.11812,0.00000,0.00002,0.80482
2.90000,0.14505,73.16271,0.00000,0.00002,0.85191
3.00000,0.14995,78.31123,0.00000,0.00002,0.91186
3.10000,0.15509,84.45299,0.00000,0.00003,0.98338
3.20000,0.16000,90.81195,0.00000,0.00002,1.05742
3.30000,0.16502,97.64994,0.00000,0.00003,1.13704
3.40000,0.16992,103.63264,0.00000,0.00003,1.20670
