Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,-0.13819,0.00000,0.00000,-0.00165
0.10000,0.00173,1.46055,0.00000,0.00000,0.01749
0.20000,0.00753,2.13447,0.00000,0.00001,0.02555
0.30000,0.01363,2.78935,0.00000,0.00001,0.03339
0.40000,0.01949,2.80004,0.00000,0.00001,0.03352
0.50000,0.02469,3.36208,0.00000,0.00001,0.04025
0.60000,0.03001,3.25536,0.00000,0.00001,0.03897
0.70000,0.03498,3.34274,0.00000,0.00002,0.04002
0.80000,0.04012,4.01243,0.00000,0.00002,0.04804
0.90000,0.04496,4.14445,0.00000,0.00001,0.04962
1.00000,0.05004,4.17693,0.00000,0.00002,0.05001
1.10000,0.05495,4.81293,0.00000,0.00002,0.05762
1.20000,0.06009,5.06023,0.00000,0.00002,0.06058
1.30000,0.06493,4.29916,0.00000,0.00002,0.05147
1.40000,0.07001,5.09375,0.00000,0.00002,0.06098
1.50000,0.07498,5.10019,0.00000,0.00002,0.06106
1.60000,0.08012,5.38487,0.00000,0.00002,0.06447
1.70000,0.08502,5.98193,0.00000,0.00002,0.07162
1.80000,0.09004,6.20287,0.00000,0.00003,0.07426
1.90000,0.09501,5.55447,0.00000,0.00003,0.06650
2.00000,0.10003,6.55344,0.00000,0.00003,0.07846
2.10000,0.10505,6.52861,0.00000,0.00002,0.07816
2.20000,0.11001,6.07847,0.00000,0.00002,0.07277
2.30000,0.11503,6.86227,0.00000,0.00002,0.08216
2.40000,0.11988,6.77845,0.00000,0.00002,0.08115
2.50000,0.12508,6.47980,0.00000,0.00002,0.07758
2.60000,0.12998,6.75968,0.00000,0.00002,0.08093
2.70000,0.13512,7.09694,0.00000,0.00002,0.08497
2.80000,0.13991,8.02360,0.00000,0.00002,0.09606
2.90000,0.14511,8.01281,0.00000,0.00002,0.09593
3.00000,0.14995,8.25962,0.00000,0.00002,0.09889
3.10000,0.15515,9.06413,0.00000,0.00001,0.10852
3.20000,0.15994,8.64309,0.00000,0.00002,0.10348
3.30000,0.16508,9.47883,0.00000,0.00001,0.11348
3.40000,0.16992,9.43828,0.00000,0.00001,0.11300
3.50000,0.17506,10.07687,0.00000,0.00001,0.12064
3.60000,0.17997,10.91028,0.00000,0.00001,0.13062
3.70000,0.18505,11.83930,0.00000,0.00001,0.14174
3.80000,0.18995,12.70914,0.00000,0.00001,0.15216
3.90000,0.19503,12.82177,0.00000,0.00000,0.15350
4.00000,0.20006,13.84194,0.00000,0.00000,0.16572
4.10000,0.20502,15.00697,0.00000,0.00000,0.17967
4.20000,0.21004,15.83344,0.00000,-0.00001,0.18956
4.30000,0.21500,16.72464,0.00000,-0.00001,0.20023
4.40000,0.22009,18.11097,0.00000,-0.00001,0.21683
4.50000,0.22505,19.19112,0.00000,-0.00002,0.22976
4.60000,0.23007,22.15736,0.00000,-0.00002,0.26527
4.70000,0.23491,26.53597,0.00000,-0.00003,0.31769
4.80000,0.24005,29.39813,0.00000,-0.00003,0.35196
4.90000,0.24502,36.52569,0.00000,-0.00003,0.43729
5.00000,0.25016,48.72482,0.00000,-0.00003,0.58334
5.10000,0.25494,62.39717,0.00000,-0.00004,0.74703
5.20000,0.26008,80.20552,0.00000,-0.00003,0.96024
5.30000,0.26499,98.79289,0.00000,-0.00004,1.18277
5.40000,0.27013,123.89057,0.00000,-0.00002,1.48324
5.50000,0.27497,149.18711,0.00000,-0.00002,1.78610
5.60000,0.28005,178.37739,0.00000,-0.00001,2.13557
5.70000,0.28490,210.05182,0.00000,0.00000,2.51478
5.80000,0.29004,247.84296,0.00000,0.00002,2.96723
5.90000,0.29500,286.58521,0.00000,0.00004,3.43106
6.00000,0.30008,328.66832,0.00000,0.00006,3.93488
6.10000,0.30499,371.31682,0.00000,0.00008,4.44548
6.20000,0.31001,413.30783,0.00000,0.00010,4.94821
6.30000,0.31491,457.68232,0.00000,0.00012,5.47947
6.40000,0.32005,501.18016,0.00000,0.00014,6.00023
6.50000,0.32496,544.79935,0.00000,0.00017,6.52245
6.60000,0.32998,586.71180,0.00000,0.00019,7.02423
6.70000,0.33494,632.58661,0.00000,0.00021,7.57346
6.80000,0.33990,675.70927,0.00000,0.00024,8.08973
6.90000,0.34505,721.75427,0.00000,0.00026,8.64099
7.00000,0.34995,764.42999,0.00000,0.00029,9.15191
7.10000,0.35503,812.49876,0.00000,0.00031,9.72740
7.20000,0.35987,856.64736,0.00000,0.00033,10.25596
7.30000,0.36507,901.43001,0.00000,0.00036,10.79211
7.40000,0.36992,943.60504,0.00000,0.00038,11.29703
7.50000,0.37506,989.12362,0.00000,0.00041,11.84199
7.60000,0.37984,1033.58952,0.00000,0.00043,12.37435
7.70000,0.38504,1079.43621,0.00000,0.00045,12.92323
7.80000,0.38989,1122.80892,0.00000,0.00048,13.44250
7.90000,0.39503,1167.14789,0.00000,0.00050,13.97333
8.00000,0.39993,1210.17797,0.00000,0.00053,14.48850
8.10000,0.40501,1255.53310,0.00000,0.00055,15.03150
8.20000,0.40992,1298.05505,0.00000,0.00057,15.54058
8.30000,0.41506,1342.11443,0.00000,0.00059,16.06807
8.40000,0.41996,1386.05591,0.00000,0.00062,16.59415
8.50000,0.42498,1428.95905,0.00000,0.00065,17.10779
8.60000,0.42995,1474.04242,0.00000,0.00067,17.64754
8.70000,0.43497,1515.46719,0.00000,0.00069,18.14348
8.80000,0.43999,1557.64911,0.00000,0.00072,18.64850
8.90000,0.44501,1599.70652,0.00000,0.00074,19.15201
9.00000,0.45004,1645.46538,0.00000,0.00076,19.69985
9.10000,0.45494,1686.96269,0.00000,0.00079,20.19666
9.20000,0.46002,1729.96446,0.00000,0.00081,20.71149
9.30000,0.46504,1770.07094,0.00000,0.00083,21.19165
9.40000,0.47006,1813.33106,0.00000,0.00085,21.70957
9.50000,0.47491,1851.96809,0.00000,0.00088,22.17214
9.60000,0.48005,1894.99110,0.00000,0.00090,22.68722
9.70000,0.48495,1933.57263,0.00000,0.00092,23.14913
9.80000,0.49015,1975.97612,0.00000,0.00094,23.65679
9.90000,0.49494,2014.66642,0.00000,0.00096,24.12000
10.00000,0.50008,2056.14995,0.00000,0.00099,24.61665
10.10000,0.50486,2093.09328,0.00000,0.00100,25.05894
10.20000,0.51012,2133.42216,0.00000,0.00103,25.54177
10.30000,0.51497,2171.72336,0.00000,0.00105,26.00032
