Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,-0.16812,0.00000,0.00000,-0.00206
0.10000,0.00167,4.64375,0.00000,0.00000,0.05695
0.20000,0.00753,26.36748,0.00000,0.00001,0.32339
0.30000,0.01363,30.60859,0.00000,0.00001,0.37541
0.40000,0.01949,34.65088,0.00000,0.00001,0.42499
0.50000,0.02469,40.27299,0.00000,0.00000,0.49394
0.60000,0.03001,45.40887,0.00000,0.00001,0.55693
0.70000,0.03498,50.53288,0.00000,0.00000,0.61978
0.80000,0.04012,56.81568,0.00000,0.00000,0.69683
0.90000,0.04496,62.91275,0.00000,0.00000,0.77161
1.00000,0.05004,68.07140,0.00000,-0.00001,0.83488
1.10000,0.05495,73.64049,0.00000,-0.00001,0.90319
1.20000,0.06009,79.59145,0.00000,-0.00001,0.97617
1.30000,0.06493,85.26964,0.00000,-0.00001,1.04582
1.40000,0.07001,91.90350,0.00000,-0.00001,1.12718
1.50000,0.07498,99.58596,0.00000,-0.00002,1.22140
1.60000,0.08006,109.34117,0.00000,-0.00002,1.34105
1.70000,0.08502,117.31706,0.00000,-0.00002,1.43887
1.80000,0.09004,126.50475,0.00000,-0.00002,1.55156
1.90000,0.09501,136.49060,0.00000,-0.00002,1.67403
2.00000,0.10003,144.40664,0.00000,-0.00003,1.77112
2.10000,0.10511,152.90515,0.00000,-0.00003,1.87535
2.20000,0.11001,161.88297,0.00000,-0.00003,1.98547
2.30000,0.11503,171.10459,0.00000,-0.00003,2.09857
2.40000,0.11988,179.72001,0.00000,-0.00003,2.20423
2.50000,0.12508,189.60901,0.00000,-0.00004,2.32552
2.60000,0.12992,198.52191,0.00000,-0.00004,2.43484
2.70000,0.13506,209.60348,0.00000,-0.00004,2.57075
2.80000,0.13991,219.67771,0.00000,-0.00005,2.69431
2.90000,0.14505,231.86018,0.00000,-0.00005,2.84372
3.00000,0.14995,243.64993,0.00000,-0.00005,2.98832
3.10000,0.15515,257.99375,0.00000,-0.00006,3.16425
3.20000,0.15994,271.70663,0.00000,-0.00006,3.33243
3.30000,0.16502,288.00780,0.00000,-0.00006,3.53236
3.40000,0.16992,303.08804,0.00000,-0.00006,3.71732
3.50000,0.17506,320.17988,0.00000,-0.00007,3.92695
3.60000,0.17997,338.00378,0.00000,-0.00007,4.14556
3.70000,0.18505,359.43005,0.00000,-0.00007,4.40835
3.80000,0.18995,381.04323,0.00000,-0.00007,4.67343
3.90000,0.19503,404.44653,0.00000,-0.00007,4.96046
4.00000,0.20006,427.66924,0.00000,-0.00007,5.24529
4.10000,0.20502,452.28549,0.00000,-0.00008,5.54720
4.20000,0.21004,478.36788,0.00000,-0.00008,5.86710
4.30000,0.21500,504.64668,0.00000,-0.00008,6.18940
4.40000,0.22009,533.48816,0.00000,-0.00008,6.54314
4.50000,0.22505,561.71175,0.00000,-0.00008,6.88929
4.60000,0.23007,594.11908,0.00000,-0.00008,7.28676
4.70000,0.23491,624.82581,0.00000,-0.00008,7.66338
4.80000,0.24005,661.76951,0.00000,-0.00008,8.11649
4.90000,0.24496,695.19444,0.00000,-0.00008,8.52644
5.00000,0.25016,734.04689,0.00000,-0.00008,9.00295
5.10000,0.25494,774.47146,0.00000,-0.00008,9.49875
5.20000,0.26008,817.73316,0.00000,-0.00008,10.02935
5.30000,0.26493,858.84063,0.00000,-0.00008,10.53353
5.40000,0.27013,903.06001,0.00000,-0.00007,11.07587
5.50000,0.27497,947.02374,0.00000,-0.00008,11.61508
5.60000,0.28005,994.84287,0.00000,-0.00007,12.20157
5.70000,0.28490,1040.99130,0.00000,-0.00007,12.76757
5.80000,0.29004,1089.70683,0.00000,-0.00007,13.36506
5.90000,0.29500,1136.68544,0.00000,-0.00007,13.94124
6.00000,0.30008,1185.89448,0.00000,-0.00006,14.54478
6.10000,0.30493,1236.60695,0.00000,-0.00006,15.16676
6.20000,0.31001,1287.35220,0.00000,-0.00006,15.78915
6.30000,0.31491,1339.28042,0.00000,-0.00006,16.42604
6.40000,0.32005,1392.49479,0.00000,-0.00005,17.07870
6.50000,0.32496,1450.18306,0.00000,-0.00005,17.78624
6.60000,0.32998,1509.13754,0.00000,-0.00004,18.50930
6.70000,0.33494,1575.72888,0.00000,-0.00004,19.32603
6.80000,0.33990,1643.56008,0.00000,-0.00003,20.15797
6.90000,0.34505,1715.68766,0.00000,-0.00002,21.04260
7.00000,0.34995,1784.60684,0.00000,-0.00001,21.88789
7.10000,0.35503,1862.89474,0.00000,0.00000,22.84807
7.20000,0.35981,1935.18475,0.00000,0.00001,23.73470
7.30000,0.36501,2014.18493,0.00000,0.00002,24.70362
7.40000,0.36986,2086.48145,0.00000,0.00003,25.59032
7.50000,0.37506,2165.43246,0.00000,0.00003,26.55864
7.60000,0.37984,2240.02376,0.00000,0.00005,27.47349
7.70000,0.38498,2316.77126,0.00000,0.00006,28.41479
7.80000,0.38989,2388.74964,0.00000,0.00007,29.29759
7.90000,0.39503,2462.34648,0.00000,0.00008,30.20024
8.00000,0.39987,2535.81945,0.00000,0.00009,31.10137
8.10000,0.40501,2609.42113,0.00000,0.00010,32.00409
8.20000,0.40992,2680.66544,0.00000,0.00010,32.87788
8.30000,0.41500,2754.30456,0.00000,0.00012,33.78106
8.40000,0.41996,2828.92771,0.00000,0.00013,34.69629
8.50000,0.42498,2904.11580,0.00000,0.00014,35.61846
8.60000,0.42995,2979.71908,0.00000,0.00015,36.54572
8.70000,0.43497,3055.77237,0.00000,0.00016,37.47850
8.80000,0.43999,3133.50111,0.00000,0.00017,38.43183
8.90000,0.44501,3207.68841,0.00000,0.00019,39.34173
9.00000,0.44998,3289.34416,0.00000,0.00019,40.34322
9.10000,0.45494,3362.78453,0.00000,0.00021,41.24395
9.20000,0.46002,3442.93155,0.00000,0.00022,42.22694
9.30000,0.46498,3518.73375,0.00000,0.00023,43.15664
9.40000,0.47006,3600.58397,0.00000,0.00024,44.16052
9.50000,0.47491,3674.20688,0.00000,0.00026,45.06349
9.60000,0.48005,3754.30323,0.00000,0.00027,46.04586
9.70000,0.48495,3827.30626,0.00000,0.00028,46.94123
9.80000,0.49009,3908.95456,0.00000,0.00030,47.94263
9.90000,0.49488,3982.40089,0.00000,0.00031,48.84344
10.00000,0.50002,4063.27955,0.00000,0.00032,49.83540
10.10000,0.50486,4138.69657,0.00000,0.00033,50.76038
10.20000,0.51006,4217.67160,0.00000,0.00034,51.72899
10.30000,0.51491,4291.90136,0.00000,0.00036,52.63941
10.40000,0.52005,4372.57923,0.00000,0.00037,53.62891
10.50000,0.52489,4447.76304,0.00000,0.00038,54.55102
10.60000,0.53003,4525.38691,0.00000,0.00040,55.50307
10.70000,0.53494,4600.32970,0.00000,0.00040,56.42223
10.80000,0.54002,4677.71105,0.00000,0.00042,57.37129
10.90000,0.54486,4756.26253,0.00000,0.00043,58.33471
11.00000,0.54994,4829.56618,0.00000,0.00045,59.23377
11.10000,0.55491,4906.86819,0.00000,0.00046,60.18187
11.20000,0.55999,4981.37139,0.00000,0.00047,61.09563
11.30000,0.56495,5059.64495,0.00000,0.00049,62.05564
11.40000,0.56991,5133.24142,0.00000,0.00050,62.95829
11.50000,0.57500,5210.32140,0.00000,0.00051,63.90366
11.60000,0.57996,5282.72241,0.00000,0.00052,64.79165
11.70000,0.58504,5361.89228,0.00000,0.00054,65.76265
11.80000,0.58988,5430.20666,0.00000,0.00055,66.60052
11.90000,0.59503,5508.57708,0.00000,0.00056,67.56172
12.00000,0.59975,5579.91751,0.00000,0.00058,68.43670
12.10000,0.60501,5657.08019,0.00000,0.00059,69.38308
12.20000,0.60985,5727.00799,0.00000,0.00060,70.24073
12.30000,0.61493,5803.53811,0.00000,0.00062,71.17936
12.40000,0.61984,5876.25653,0.00000,0.00063,72.07124
12.50000,0.62504,5950.66771,0.00000,0.00064,72.98388
12.60000,0.62994,6020.62531,0.00000,0.00065,73.84190
12.70000,0.63502,6092.65976,0.00000,0.00067,74.72539
12.80000,0.63993,6165.69221,0.00000,0.00068,75.62112
12.90000,0.64501,6235.94113,0.00000,0.00069,76.48271
13.00000,0.64997,6306.17738,0.00000,0.00070,77.34414
13.10000,0.65499,6376.93331,0.00000,0.00071,78.21195
13.20000,0.65990,6447.25412,0.00000,0.00072,79.07442
13.30000,0.66492,6514.21547,0.00000,0.00073,79.89569
13.40000,0.66988,6586.11730,0.00000,0.00075,80.77756
13.50000,0.67496,6653.01383,0.00000,0.00076,81.59803
13.60000,0.67999,6722.81384,0.00000,0.00077,82.45412
