Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,-0.17624,0.00000,0.00000,-0.00217
0.10000,0.00167,3.24451,0.00000,0.00000,0.03992
0.20000,0.00753,15.35598,0.00000,0.00000,0.18893
0.30000,0.01363,21.28001,0.00000,0.00000,0.26181
0.40000,0.01949,25.33938,0.00000,0.00000,0.31175
0.50000,0.02469,28.86053,0.00000,0.00000,0.35508
0.60000,0.03007,32.07537,0.00000,0.00000,0.39463
0.70000,0.03498,33.49734,0.00000,-0.00001,0.41212
0.80000,0.04012,36.25748,0.00000,-0.00001,0.44608
0.90000,0.04490,38.78665,0.00000,-0.00001,0.47720
1.00000,0.05004,41.91733,0.00000,-0.00001,0.51572
1.10000,0.05495,44.82123,0.00000,-0.00001,0.55144
1.20000,0.06009,47.39423,0.00000,-0.00001,0.58310
1.30000,0.06493,50.69848,0.00000,-0.00001,0.62375
1.40000,0.07001,54.25018,0.00000,-0.00002,0.66745
1.50000,0.07498,58.26530,0.00000,-0.00002,0.71685
1.60000,0.08012,63.64908,0.00000,-0.00002,0.78308
1.70000,0.08502,67.88767,0.00000,-0.00002,0.83523
1.80000,0.09004,73.31853,0.00000,-0.00003,0.90205
1.90000,0.09501,78.27900,0.00000,-0.00003,0.96308
2.00000,0.10003,84.38691,0.00000,-0.00003,1.03822
2.10000,0.10511,89.75844,0.00000,-0.00003,1.10431
2.20000,0.11001,95.54575,0.00000,-0.00004,1.17551
2.30000,0.11503,101.05150,0.00000,-0.00004,1.24325
2.40000,0.11988,107.75701,0.00000,-0.00004,1.32575
2.50000,0.12508,113.00772,0.00000,-0.00004,1.39035
2.60000,0.12998,120.44566,0.00000,-0.00005,1.48186
2.70000,0.13512,128.98233,0.00000,-0.00005,1.58689
2.80000,0.13991,134.84606,0.00000,-0.00006,1.65903
2.90000,0.14505,143.82196,0.00000,-0.00006,1.76946
3.00000,0.14995,151.76410,0.00000,-0.00006,1.86718
3.10000,0.15515,162.96169,0.00000,-0.00006,2.00494
3.20000,0.15994,175.95295,0.00000,-0.00007,2.16478
3.30000,0.16508,191.91811,0.00000,-0.00007,2.36120
3.40000,0.16992,207.79080,0.00000,-0.00007,2.55648
3.50000,0.17506,225.20148,0.00000,-0.00007,2.77069
3.60000,0.17991,243.52446,0.00000,-0.00007,2.99612
3.70000,0.18505,262.25268,0.00000,-0.00007,3.22653
3.80000,0.18995,281.47637,0.00000,-0.00007,3.46305
3.90000,0.19503,303.06329,0.00000,-0.00008,3.72863
4.00000,0.20006,323.77753,0.00000,-0.00008,3.98348
4.10000,0.20502,345.71865,0.00000,-0.00008,4.25343
4.20000,0.21004,369.10712,0.00000,-0.00008,4.54118
4.30000,0.21500,394.72100,0.00000,-0.00008,4.85631
4.40000,0.22009,424.70731,0.00000,-0.00008,5.22524
4.50000,0.22499,453.79740,0.00000,-0.00008,5.58314
4.60000,0.23007,488.97448,0.00000,-0.00008,6.01593
4.70000,0.23491,525.68447,0.00000,-0.00007,6.46757
4.80000,0.24005,569.27083,0.00000,-0.00008,7.00382
4.90000,0.24496,613.20397,0.00000,-0.00008,7.54434
5.00000,0.25010,661.62203,0.00000,-0.00007,8.14003
5.10000,0.25494,709.59656,0.00000,-0.00007,8.73027
5.20000,0.26008,764.56056,0.00000,-0.00006,9.40650
5.30000,0.26499,821.13994,0.00000,-0.00006,10.10261
5.40000,0.27013,878.37204,0.00000,-0.00005,10.80674
5.50000,0.27491,931.17505,0.00000,-0.00005,11.45639
5.60000,0.28005,991.01150,0.00000,-0.00004,12.19256
5.70000,0.28484,1048.44989,0.00000,-0.00003,12.89924
5.80000,0.29004,1109.42284,0.00000,-0.00003,13.64940
5.90000,0.29500,1170.07336,0.00000,-0.00002,14.39559
6.00000,0.30008,1234.06304,0.00000,-0.00001,15.18286
6.10000,0.30499,1297.54208,0.00000,0.00000,15.96385
6.20000,0.31001,1363.58058,0.00000,0.00001,16.77634
6.30000,0.31491,1431.17635,0.00000,0.00002,17.60798
6.40000,0.31999,1496.00338,0.00000,0.00003,18.40555
6.50000,0.32496,1562.32752,0.00000,0.00004,19.22155
6.60000,0.32998,1629.41832,0.00000,0.00005,20.04698
6.70000,0.33494,1699.28893,0.00000,0.00006,20.90661
6.80000,0.33990,1762.81668,0.00000,0.00007,21.68820
6.90000,0.34505,1832.34178,0.00000,0.00008,22.54357
7.00000,0.34995,1897.05137,0.00000,0.00009,23.33971
7.10000,0.35503,1967.60725,0.00000,0.00010,24.20777
7.20000,0.35987,2030.74273,0.00000,0.00011,24.98453
7.30000,0.36507,2099.52164,0.00000,0.00012,25.83073
7.40000,0.36986,2160.77305,0.00000,0.00013,26.58431
7.50000,0.37506,2230.20706,0.00000,0.00014,27.43857
7.60000,0.37984,2295.26050,0.00000,0.00015,28.23893
7.70000,0.38498,2360.11650,0.00000,0.00016,29.03687
7.80000,0.38989,2422.00997,0.00000,0.00017,29.79835
7.90000,0.39503,2487.73359,0.00000,0.00018,30.60696
8.00000,0.39987,2551.78642,0.00000,0.00019,31.39501
8.10000,0.40501,2614.11797,0.00000,0.00020,32.16188
8.20000,0.40992,2676.31803,0.00000,0.00021,32.92714
8.30000,0.41500,2738.39273,0.00000,0.00023,33.69086
8.40000,0.41996,2799.89038,0.00000,0.00023,34.44747
8.50000,0.42498,2862.11763,0.00000,0.00024,35.21306
8.60000,0.42995,2923.73337,0.00000,0.00025,35.97113
8.70000,0.43497,2982.38248,0.00000,0.00026,36.69270
8.80000,0.43999,3043.63873,0.00000,0.00027,37.44634
8.90000,0.44501,3103.55462,0.00000,0.00028,38.18350
9.00000,0.44998,3165.31286,0.00000,0.00029,38.94332
9.10000,0.45494,3221.11137,0.00000,0.00030,39.62982
9.20000,0.46002,3282.24339,0.00000,0.00031,40.38193
9.30000,0.46498,3338.92554,0.00000,0.00032,41.07930
9.40000,0.47006,3399.05173,0.00000,0.00033,41.81904
9.50000,0.47491,3451.65469,0.00000,0.00034,42.46622
9.60000,0.48005,3510.33583,0.00000,0.00035,43.18819
9.70000,0.48495,3562.87174,0.00000,0.00036,43.83454
9.80000,0.49009,3620.02552,0.00000,0.00037,44.53772
9.90000,0.49488,3671.51462,0.00000,0.00037,45.17119
10.00000,0.50002,3728.26234,0.00000,0.00039,45.86937
10.10000,0.50486,3779.93211,0.00000,0.00040,46.50507
10.20000,0.51006,3834.88350,0.00000,0.00041,47.18115
10.30000,0.51491,3885.77171,0.00000,0.00041,47.80723
10.40000,0.52005,3942.36818,0.00000,0.00042,48.50355
10.50000,0.52489,3991.57293,0.00000,0.00043,49.10892
10.60000,0.53003,4042.80536,0.00000,0.00043,49.73924
10.70000,0.53494,4090.69918,0.00000,0.00045,50.32848
10.80000,0.54002,4140.59311,0.00000,0.00045,50.94234
10.90000,0.54486,4188.48246,0.00000,0.00046,51.53153
11.00000,0.54994,4234.28118,0.00000,0.00047,52.09499
11.10000,0.55497,4282.35456,0.00000,0.00048,52.68645
11.20000,0.55999,4327.68129,0.00000,0.00049,53.24411
11.30000,0.56495,4377.66761,0.00000,0.00049,53.85910
11.40000,0.56997,4421.98478,0.00000,0.00051,54.40434
11.50000,0.57500,4469.55115,0.00000,0.00051,54.98956
11.60000,0.57996,4510.77148,0.00000,0.00051,55.49670
11.70000,0.58504,4557.03288,0.00000,0.00053,56.06586
11.80000,0.58988,4597.75962,0.00000,0.00053,56.56692
11.90000,0.59503,4643.17612,0.00000,0.00054,57.12569
12.00000,0.59981,4684.04442,0.00000,0.00055,57.62850
12.10000,0.60501,4731.28967,0.00000,0.00055,58.20976
12.20000,0.60985,4771.50232,0.00000,0.00056,58.70451
12.30000,0.61493,4817.59086,0.00000,0.00056,59.27154
12.40000,0.61984,4856.79805,0.00000,0.00058,59.75391
12.50000,0.62504,4901.31080,0.00000,0.00058,60.30156
12.60000,0.62994,4941.90119,0.00000,0.00059,60.80095
12.70000,0.63502,4985.18236,0.00000,0.00060,61.33344
12.80000,0.63993,5026.21606,0.00000,0.00060,61.83829
12.90000,0.64501,5066.64217,0.00000,0.00061,62.33566
13.00000,0.64997,5108.02828,0.00000,0.00061,62.84484
13.10000,0.65499,5148.83250,0.00000,0.00062,63.34686
13.20000,0.65996,5190.07072,0.00000,0.00063,63.85422
13.30000,0.66498,5230.26101,0.00000,0.00064,64.34868
13.40000,0.66994,5272.35121,0.00000,0.00065,64.86653
13.50000,0.67502,5314.01932,0.00000,0.00065,65.37917
13.60000,0.68005,5358.29440,0.00000,0.00066,65.92390
13.70000,0.68507,5398.86430,0.00000,0.00067,66.42304
13.80000,0.69003,5441.01223,0.00000,0.00068,66.94159
13.90000,0.69499,5481.04681,0.00000,0.00068,67.43414
14.00000,0.70008,5523.58478,0.00000,0.00069,67.95749
14.10000,0.70504,5565.26706,0.00000,0.00070,68.47031
14.20000,0.71006,5611.78401,0.00000,0.00070,69.04262
14.30000,0.71490,5650.38696,0.00000,0.00071,69.51756
14.40000,0.72004,5694.19861,0.00000,0.00072,70.05658
14.50000,0.72495,5732.84179,0.00000,0.00072,70.53201
14.60000,0.73015,5779.58040,0.00000,0.00074,71.10704
14.70000,0.73499,5820.91361,0.00000,0.00074,71.61557
14.80000,0.74013,5864.99050,0.00000,0.00075,72.15786
14.90000,0.74498,5905.05600,0.00000,0.00076,72.65079
15.00000,0.75012,5950.34175,0.00000,0.00077,73.20794
15.10000,0.75490,5990.28394,0.00000,0.00077,73.69936
15.20000,0.76004,6035.61774,0.00000,0.00078,74.25711
15.30000,0.76489,6076.42829,0.00000,0.00079,74.75921
15.40000,0.77003,6120.49699,0.00000,0.00079,75.30139
15.50000,0.77493,6163.29797,0.00000,0.00080,75.82798
15.60000,0.77995,6209.09929,0.00000,0.00081,76.39148
15.70000,0.78492,6253.11062,0.00000,0.00082,76.93296
15.80000,0.79000,6294.45612,0.00000,0.00083,77.44164
15.90000,0.79496,6338.88543,0.00000,0.00083,77.98826
16.00000,0.79998,6381.42377,0.00000,0.00084,78.51161
16.10000,0.80495,6428.58446,0.00000,0.00085,79.09184
16.20000,0.80997,6471.02371,0.00000,0.00085,79.61397
16.30000,0.81499,6517.06755,0.00000,0.00086,80.18046
16.40000,0.81995,6556.66590,0.00000,0.00087,80.66764
16.50000,0.82504,6604.33546,0.00000,0.00088,81.25413
16.60000,0.82988,6646.18239,0.00000,0.00088,81.76898
16.70000,0.83502,6692.61292,0.00000,0.00090,82.34022
16.80000,0.83992,6733.92192,0.00000,0.00090,82.84845
16.90000,0.84506,6781.26737,0.00000,0.00091,83.43095
17.00000,0.84985,6822.00268,0.00000,0.00092,83.93212
17.10000,0.85505,6870.20570,0.00000,0.00092,84.52517
17.20000,0.85989,6912.36332,0.00000,0.00093,85.04384
17.30000,0.86509,6959.30421,0.00000,0.00095,85.62136
17.40000,0.87000,7002.79698,0.00000,0.00095,86.15646
17.50000,0.87502,7048.40869,0.00000,0.00096,86.71763
17.60000,0.87992,7091.41940,0.00000,0.00096,87.24679
17.70000,0.88500,7138.13156,0.00000,0.00097,87.82150
17.80000,0.88997,7183.11667,0.00000,0.00098,88.37496
17.90000,0.89499,7228.82897,0.00000,0.00099,88.93736
18.00000,0.89995,7274.55765,0.00000,0.00100,89.49997
18.10000,0.90497,7318.96088,0.00000,0.00101,90.04627
18.20000,0.91000,7364.24923,0.00000,0.00102,90.60346
18.30000,0.91508,7407.69655,0.00000,0.00102,91.13800
18.40000,0.92004,7454.95185,0.00000,0.00103,91.71939
18.50000,0.92500,7499.30441,0.00000,0.00104,92.26506
18.60000,0.92997,7546.22892,0.00000,0.00105,92.84238
18.70000,0.93499,7589.09285,0.00000,0.00106,93.36974
18.80000,0.94007,7637.27129,0.00000,0.00106,93.96249
18.90000,0.94491,7679.51757,0.00000,0.00107,94.48225
19.00000,0.95000,7729.45955,0.00000,0.00108,95.09670
19.10000,0.95484,7771.79971,0.00000,0.00109,95.61761
19.20000,0.96004,7821.47646,0.00000,0.00110,96.22880
19.30000,0.96494,7864.85001,0.00000,0.00111,96.76243
19.40000,0.97002,7912.95394,0.00000,0.00111,97.35426
19.50000,0.97487,7956.82967,0.00000,0.00112,97.89407
19.60000,0.98007,8004.74733,0.00000,0.00113,98.48360
19.70000,0.98491,8049.49850,0.00000,0.00114,99.03418
19.80000,0.99005,8098.38027,0.00000,0.00114,99.63558
19.90000,0.99490,8142.37073,0.00000,0.00115,100.17681
20.00000,0.99998,8189.81230,0.00000,0.00116,100.76049
20.10000,1.00494,8235.61102,0.00000,0.00117,101.32395
20.20000,1.01008,8283.10549,0.00000,0.00118,101.90829
20.30000,1.01499,8328.98840,0.00000,0.00119,102.47279
20.40000,1.01995,8374.97562,0.00000,0.00119,103.03858
20.50000,1.02491,8424.33274,0.00000,0.00120,103.64583
