Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,-0.14978,0.00000,0.00000,-0.00187
0.10000,0.00155,1.08332,0.00000,0.00000,0.01351
0.20000,0.00717,3.14263,0.00000,0.00000,0.03920
0.30000,0.01357,5.25385,0.00000,0.00001,0.06553
0.40000,0.01937,5.76759,0.00000,0.00001,0.07194
0.50000,0.02469,6.26930,0.00000,0.00001,0.07820
0.60000,0.02995,6.15799,0.00000,0.00001,0.07681
0.70000,0.03498,7.08725,0.00000,0.00001,0.08840
0.80000,0.04006,7.74301,0.00000,0.00001,0.09658
0.90000,0.04502,9.00560,0.00000,0.00001,0.11233
1.00000,0.05004,10.72013,0.00000,0.00001,0.13372
1.10000,0.05501,10.94007,0.00000,0.00001,0.13646
1.20000,0.06003,11.57834,0.00000,0.00002,0.14442
1.30000,0.06505,12.90938,0.00000,0.00002,0.16103
1.40000,0.06995,13.67703,0.00000,0.00002,0.17060
1.50000,0.07504,13.79842,0.00000,0.00001,0.17212
1.60000,0.07994,14.67736,0.00000,0.00001,0.18308
1.70000,0.08514,15.51319,0.00000,0.00002,0.19351
1.80000,0.08998,16.61290,0.00000,0.00002,0.20722
1.90000,0.09513,18.21014,0.00000,0.00001,0.22715
2.00000,0.09997,18.51492,0.00000,0.00002,0.23095
2.10000,0.10511,20.01148,0.00000,0.00001,0.24962
2.20000,0.10995,20.97021,0.00000,0.00001,0.26157
2.30000,0.11509,21.80159,0.00000,0.00001,0.27194
2.40000,0.11988,23.15239,0.00000,0.00001,0.28879
2.50000,0.12508,23.52581,0.00000,0.00001,0.29345
2.60000,0.12998,25.57745,0.00000,0.00001,0.31904
2.70000,0.13512,25.77574,0.00000,0.00001,0.32152
2.80000,0.13997,26.32950,0.00000,0.00001,0.32842
2.90000,0.14499,28.07241,0.00000,0.00001,0.35016
3.00000,0.14995,28.97134,0.00000,0.00000,0.36138
3.10000,0.15503,30.39183,0.00000,0.00000,0.37910
3.20000,0.16000,32.06515,0.00000,0.00000,0.39997
3.30000,0.16496,34.20776,0.00000,0.00000,0.42669
3.40000,0.16998,35.51717,0.00000,0.00000,0.44303
3.50000,0.17494,39.31672,0.00000,0.00000,0.49042
3.60000,0.18003,41.36302,0.00000,-0.00001,0.51595
3.70000,0.18499,43.99202,0.00000,-0.00001,0.54874
3.80000,0.19007,46.34960,0.00000,-0.00001,0.57815
3.90000,0.19491,50.63253,0.00000,-0.00001,0.63157
4.00000,0.20006,58.90432,0.00000,-0.00001,0.73475
4.10000,0.20496,66.43731,0.00000,-0.00001,0.82871
4.20000,0.21010,74.10036,0.00000,-0.00001,0.92430
4.30000,0.21494,82.19457,0.00000,-0.00002,1.02526
4.40000,0.22009,97.84120,0.00000,-0.00001,1.22043
4.50000,0.22493,115.11476,0.00000,-0.00001,1.43590
4.60000,0.23013,132.73468,0.00000,-0.00001,1.65568
4.70000,0.23491,151.42645,0.00000,0.00000,1.88884
4.80000,0.24000,170.30743,0.00000,0.00001,2.12435
4.90000,0.24496,190.54640,0.00000,0.00001,2.37680
5.00000,0.25004,216.21294,0.00000,0.00002,2.69696
5.10000,0.25500,242.34471,0.00000,0.00002,3.02292
5.20000,0.26002,270.45070,0.00000,0.00004,3.37350
