Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,-0.66358,0.00000,0.00000,-0.00820
0.10000,0.00167,4.65112,0.00000,0.00000,0.05749
0.20000,0.00753,23.19944,0.00000,0.00001,0.28677
0.30000,0.01363,27.09242,0.00000,0.00001,0.33489
0.40000,0.01949,30.74118,0.00000,0.00000,0.38000
0.50000,0.02469,36.10804,0.00000,0.00000,0.44634
0.60000,0.03001,40.43507,0.00000,0.00000,0.49983
0.70000,0.03498,44.22122,0.00000,-0.00001,0.54663
0.80000,0.04006,49.82501,0.00000,0.00000,0.61590
0.90000,0.04496,53.77232,0.00000,-0.00001,0.66469
1.00000,0.05004,57.60498,0.00000,-0.00001,0.71207
1.10000,0.05495,62.34479,0.00000,-0.00001,0.77066
1.20000,0.06009,67.13163,0.00000,-0.00002,0.82983
1.30000,0.06493,72.33775,0.00000,-0.00002,0.89418
1.40000,0.07001,77.26849,0.00000,-0.00002,0.95513
1.50000,0.07498,83.74404,0.00000,-0.00002,1.03518
1.60000,0.08012,90.89133,0.00000,-0.00003,1.12352
1.70000,0.08502,97.73009,0.00000,-0.00003,1.20806
1.80000,0.09004,105.72125,0.00000,-0.00003,1.30684
1.90000,0.09501,112.94555,0.00000,-0.00003,1.39614
2.00000,0.10003,119.63329,0.00000,-0.00004,1.47881
2.10000,0.10511,125.66886,0.00000,-0.00004,1.55342
2.20000,0.11001,132.59861,0.00000,-0.00004,1.63908
2.30000,0.11503,139.87002,0.00000,-0.00005,1.72896
2.40000,0.11988,146.63945,0.00000,-0.00005,1.81264
2.50000,0.12508,154.11323,0.00000,-0.00005,1.90502
2.60000,0.12998,161.25503,0.00000,-0.00006,1.99330
2.70000,0.13512,170.78100,0.00000,-0.00006,2.11106
2.80000,0.13991,177.48735,0.00000,-0.00006,2.19395
2.90000,0.14505,186.81781,0.00000,-0.00007,2.30929
3.00000,0.14989,196.57675,0.00000,-0.00007,2.42992
3.10000,0.15515,208.83214,0.00000,-0.00008,2.58141
3.20000,0.15994,220.34498,0.00000,-0.00007,2.72372
3.30000,0.16502,232.76925,0.00000,-0.00008,2.87730
3.40000,0.16992,244.42130,0.00000,-0.00009,3.02134
