Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,0.25393,0.00000,0.00000,0.00305
0.10000,0.00173,2.18740,0.00000,0.00000,0.02631
0.20000,0.00753,7.20885,0.00000,0.00001,0.08671
0.30000,0.01363,7.38387,0.00000,0.00000,0.08881
0.40000,0.01949,8.30989,0.00000,0.00001,0.09995
0.50000,0.02469,9.49223,0.00000,0.00001,0.11417
0.60000,0.03001,10.87211,0.00000,0.00001,0.13077
0.70000,0.03498,11.28364,0.00000,0.00001,0.13572
0.80000,0.04012,11.50623,0.00000,0.00001,0.13840
0.90000,0.04496,12.94666,0.00000,0.00001,0.15572
1.00000,0.05004,13.43147,0.00000,0.00002,0.16155
1.10000,0.05495,15.06037,0.00000,0.00001,0.18114
1.20000,0.06009,14.77688,0.00000,0.00001,0.17773
1.30000,0.06493,15.67374,0.00000,0.00002,0.18852
1.40000,0.07001,16.19783,0.00000,0.00002,0.19483
1.50000,0.07498,16.58947,0.00000,0.00002,0.19954
1.60000,0.08012,16.72140,0.00000,0.00002,0.20112
1.70000,0.08502,18.13540,0.00000,0.00002,0.21813
1.80000,0.09004,18.40785,0.00000,0.00002,0.22141
1.90000,0.09501,19.12267,0.00000,0.00002,0.23001
2.00000,0.10003,19.46113,0.00000,0.00002,0.23408
2.10000,0.10511,20.61799,0.00000,0.00002,0.24799
2.20000,0.11001,21.11494,0.00000,0.00002,0.25397
2.30000,0.11503,22.07932,0.00000,0.00001,0.26557
2.40000,0.11988,23.35249,0.00000,0.00001,0.28088
2.50000,0.12508,23.83890,0.00000,0.00001,0.28673
2.60000,0.12998,25.20067,0.00000,0.00001,0.30311
2.70000,0.13512,25.11190,0.00000,0.00001,0.30204
2.80000,0.13991,25.91930,0.00000,0.00001,0.31175
2.90000,0.14505,27.45131,0.00000,0.00001,0.33018
3.00000,0.14995,29.54913,0.00000,0.00001,0.35541
3.10000,0.15515,29.89994,0.00000,0.00001,0.35963
3.20000,0.15994,30.46361,0.00000,0.00001,0.36641
3.30000,0.16508,31.29977,0.00000,0.00001,0.37647
3.40000,0.16992,32.41250,0.00000,0.00001,0.38985
3.50000,0.17506,35.20869,0.00000,0.00001,0.42349
3.60000,0.17997,37.93947,0.00000,0.00000,0.45633
3.70000,0.18505,39.20662,0.00000,0.00000,0.47157
3.80000,0.18995,40.50005,0.00000,0.00000,0.48713
3.90000,0.19503,42.27256,0.00000,0.00000,0.50845
4.00000,0.20006,47.18752,0.00000,-0.00001,0.56757
4.10000,0.20502,55.25912,0.00000,-0.00001,0.66465
4.20000,0.21004,63.10371,0.00000,-0.00001,0.75900
4.30000,0.21500,71.44487,0.00000,-0.00001,0.85933
4.40000,0.22009,78.90343,0.00000,-0.00001,0.94904
4.50000,0.22505,90.16074,0.00000,-0.00001,1.08444
4.60000,0.23007,104.29200,0.00000,-0.00002,1.25441
4.70000,0.23491,118.49494,0.00000,-0.00002,1.42524
4.80000,0.24011,134.97289,0.00000,-0.00002,1.62344
4.90000,0.24502,150.67543,0.00000,-0.00002,1.81231
5.00000,0.25016,170.05677,0.00000,-0.00001,2.04542
5.10000,0.25494,191.20515,0.00000,0.00000,2.29979
5.20000,0.26008,216.55408,0.00000,0.00000,2.60469
5.30000,0.26499,241.51222,0.00000,0.00001,2.90488
5.40000,0.27013,266.34508,0.00000,0.00001,3.20357
5.50000,0.27497,288.90716,0.00000,0.00002,3.47494
5.60000,0.28005,312.48443,0.00000,0.00004,3.75852
5.70000,0.28490,337.00580,0.00000,0.00005,4.05346
5.80000,0.29004,365.90912,0.00000,0.00006,4.40111
5.90000,0.29500,393.34735,0.00000,0.00007,4.73113
6.00000,0.30008,421.10207,0.00000,0.00008,5.06496
6.10000,0.30499,450.17404,0.00000,0.00009,5.41464
6.20000,0.31001,476.90966,0.00000,0.00011,5.73621
6.30000,0.31491,508.16503,0.00000,0.00012,6.11215
6.40000,0.32005,539.03637,0.00000,0.00013,6.48346
6.50000,0.32496,571.26167,0.00000,0.00015,6.87106
6.60000,0.32998,599.80345,0.00000,0.00016,7.21436
6.70000,0.33500,630.27693,0.00000,0.00017,7.58089
6.80000,0.33990,657.87700,0.00000,0.00018,7.91286
6.90000,0.34505,686.37524,0.00000,0.00019,8.25564
7.00000,0.34995,711.58400,0.00000,0.00021,8.55884
7.10000,0.35503,740.86487,0.00000,0.00022,8.91103
7.20000,0.35987,764.28684,0.00000,0.00023,9.19275
7.30000,0.36507,791.03159,0.00000,0.00024,9.51443
7.40000,0.36992,814.25486,0.00000,0.00025,9.79376
7.50000,0.37506,841.45078,0.00000,0.00026,10.12087
7.60000,0.37984,863.60434,0.00000,0.00027,10.38733
7.70000,0.38504,886.66743,0.00000,0.00028,10.66473
7.80000,0.38989,908.06531,0.00000,0.00029,10.92210
7.90000,0.39503,929.42836,0.00000,0.00030,11.17905
8.00000,0.39993,949.88672,0.00000,0.00031,11.42512
8.10000,0.40501,970.47770,0.00000,0.00032,11.67279
8.20000,0.40992,989.78607,0.00000,0.00033,11.90502
8.30000,0.41506,1009.22165,0.00000,0.00034,12.13879
8.40000,0.41996,1027.14244,0.00000,0.00035,12.35434
8.50000,0.42498,1045.69849,0.00000,0.00035,12.57753
8.60000,0.42995,1063.76233,0.00000,0.00036,12.79480
8.70000,0.43497,1078.97287,0.00000,0.00037,12.97775
8.80000,0.44005,1096.44439,0.00000,0.00037,13.18790
8.90000,0.44501,1111.41279,0.00000,0.00038,13.36794
9.00000,0.45004,1127.40658,0.00000,0.00039,13.56031
9.10000,0.45494,1139.66903,0.00000,0.00039,13.70780
9.20000,0.46008,1153.69111,0.00000,0.00040,13.87645
9.30000,0.46504,1165.40119,0.00000,0.00040,14.01730
9.40000,0.47006,1180.61071,0.00000,0.00041,14.20024
9.50000,0.47497,1190.14550,0.00000,0.00042,14.31492
9.60000,0.48005,1202.62830,0.00000,0.00042,14.46506
9.70000,0.48495,1212.29133,0.00000,0.00042,14.58129
9.80000,0.49015,1224.26143,0.00000,0.00043,14.72526
9.90000,0.49494,1232.87141,0.00000,0.00044,14.82882
10.00000,0.50008,1244.58484,0.00000,0.00044,14.96971
10.10000,0.50486,1252.52996,0.00000,0.00044,15.06527
10.20000,0.51012,1263.01451,0.00000,0.00044,15.19138
10.30000,0.51497,1269.80590,0.00000,0.00045,15.27307
10.40000,0.52005,1279.73342,0.00000,0.00045,15.39247
10.50000,0.52495,1286.45841,0.00000,0.00046,15.47336
10.60000,0.53003,1294.18960,0.00000,0.00046,15.56635
10.70000,0.53494,1300.91105,0.00000,0.00046,15.64720
10.80000,0.54008,1307.83878,0.00000,0.00046,15.73052
10.90000,0.54492,1314.43990,0.00000,0.00047,15.80992
11.00000,0.55000,1319.20474,0.00000,0.00047,15.86723
11.10000,0.55497,1324.33856,0.00000,0.00047,15.92898
11.20000,0.55999,1330.42149,0.00000,0.00047,16.00214
11.30000,0.56501,1338.73913,0.00000,0.00047,16.10219
11.40000,0.56997,1343.82704,0.00000,0.00048,16.16338
11.50000,0.57500,1351.39069,0.00000,0.00048,16.25436
11.60000,0.57996,1355.49605,0.00000,0.00049,16.30374
11.70000,0.58510,1363.03352,0.00000,0.00049,16.39440
11.80000,0.58994,1366.28002,0.00000,0.00049,16.43345
11.90000,0.59503,1374.37945,0.00000,0.00049,16.53087
12.00000,0.59981,1376.65775,0.00000,0.00049,16.55827
12.10000,0.60501,1385.80687,0.00000,0.00050,16.66831
12.20000,0.60991,1391.01371,0.00000,0.00049,16.73094
12.30000,0.61499,1397.18689,0.00000,0.00050,16.80519
12.40000,0.61984,1403.51076,0.00000,0.00051,16.88125
12.50000,0.62504,1410.91635,0.00000,0.00051,16.97033
12.60000,0.62994,1417.02099,0.00000,0.00051,17.04375
12.70000,0.63508,1423.21549,0.00000,0.00051,17.11826
12.80000,0.63999,1427.64812,0.00000,0.00051,17.17157
12.90000,0.64501,1431.65560,0.00000,0.00051,17.21978
13.00000,0.64997,1435.14862,0.00000,0.00052,17.26179
13.10000,0.65505,1438.14115,0.00000,0.00051,17.29778
13.20000,0.65996,1442.51380,0.00000,0.00052,17.35038
13.30000,0.66498,1443.16666,0.00000,0.00052,17.35823
13.40000,0.66994,1446.41297,0.00000,0.00052,17.39728
13.50000,0.67496,1446.78056,0.00000,0.00052,17.40170
13.60000,0.68005,1449.32363,0.00000,0.00052,17.43228
13.70000,0.68507,1453.58872,0.00000,0.00052,17.48358
13.80000,0.69009,1459.16799,0.00000,0.00052,17.55069
13.90000,0.69499,1462.39977,0.00000,0.00052,17.58956
14.00000,0.70008,1467.47101,0.00000,0.00053,17.65056
14.10000,0.70504,1472.77508,0.00000,0.00053,17.71436
14.20000,0.71006,1481.33598,0.00000,0.00053,17.81733
14.30000,0.71496,1488.71783,0.00000,0.00054,17.90611
14.40000,0.72004,1500.77287,0.00000,0.00054,18.05111
14.50000,0.72495,1509.55040,0.00000,0.00055,18.15668
14.60000,0.73015,1523.56485,0.00000,0.00055,18.32525
14.70000,0.73499,1535.97789,0.00000,0.00056,18.47455
14.80000,0.74013,1549.87909,0.00000,0.00057,18.64175
14.90000,0.74492,1562.64193,0.00000,0.00057,18.79526
15.00000,0.75012,1578.11493,0.00000,0.00058,18.98137
15.10000,0.75490,1591.88677,0.00000,0.00058,19.14702
15.20000,0.76004,1608.78021,0.00000,0.00059,19.35021
15.30000,0.76489,1625.28381,0.00000,0.00060,19.54871
15.40000,0.77003,1641.96193,0.00000,0.00061,19.74931
15.50000,0.77499,1658.83433,0.00000,0.00062,19.95225
15.60000,0.78001,1677.47568,0.00000,0.00063,20.17647
15.70000,0.78492,1695.40606,0.00000,0.00064,20.39213
15.80000,0.79000,1712.26226,0.00000,0.00064,20.59488
15.90000,0.79502,1731.14650,0.00000,0.00065,20.82202
16.00000,0.79998,1747.90323,0.00000,0.00066,21.02356
16.10000,0.80501,1768.16285,0.00000,0.00067,21.26724
16.20000,0.80997,1785.94347,0.00000,0.00068,21.48111
16.30000,0.81499,1805.79256,0.00000,0.00069,21.71985
16.40000,0.81995,1822.27381,0.00000,0.00070,21.91808
16.50000,0.82504,1842.92961,0.00000,0.00071,22.16653
16.60000,0.82994,1861.55029,0.00000,0.00072,22.39050
16.70000,0.83502,1882.70416,0.00000,0.00073,22.64493
16.80000,0.83986,1901.42170,0.00000,0.00074,22.87006
16.90000,0.84506,1922.64467,0.00000,0.00075,23.12533
17.00000,0.84991,1940.68756,0.00000,0.00075,23.34235
17.10000,0.85511,1963.34142,0.00000,0.00076,23.61483
17.20000,0.85989,1981.81011,0.00000,0.00078,23.83697
17.30000,0.86509,2002.60207,0.00000,0.00079,24.08705
17.40000,0.87000,2022.05554,0.00000,0.00079,24.32103
17.50000,0.87508,2043.22822,0.00000,0.00081,24.57570
17.60000,0.87992,2062.48816,0.00000,0.00081,24.80735
17.70000,0.88500,2084.55808,0.00000,0.00082,25.07281
17.80000,0.88997,2106.10218,0.00000,0.00083,25.33194
17.90000,0.89505,2126.54658,0.00000,0.00084,25.57784
18.00000,0.89995,2148.08676,0.00000,0.00085,25.83692
18.10000,0.90503,2168.28715,0.00000,0.00086,26.07989
18.20000,0.91000,2191.55494,0.00000,0.00088,26.35975
18.30000,0.91502,2211.92315,0.00000,0.00088,26.60474
18.40000,0.92004,2235.46661,0.00000,0.00090,26.88791
18.50000,0.92500,2258.05286,0.00000,0.00091,27.15958
18.60000,0.93003,2281.63674,0.00000,0.00092,27.44324
18.70000,0.93499,2302.63211,0.00000,0.00093,27.69577
18.80000,0.94007,2326.37040,0.00000,0.00094,27.98129
18.90000,0.94491,2345.73130,0.00000,0.00095,28.21416
19.00000,0.95006,2370.27165,0.00000,0.00096,28.50933
