Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,-0.28091,0.00000,0.00000,-0.00345
0.10000,0.00155,4.15599,0.00000,0.00000,0.05107
0.20000,0.00706,11.56973,0.00000,0.00000,0.14218
0.30000,0.01345,17.38237,0.00000,0.00000,0.21361
0.40000,0.01937,21.75406,0.00000,0.00000,0.26734
0.50000,0.02469,24.75236,0.00000,0.00000,0.30418
0.60000,0.02989,26.98021,0.00000,0.00000,0.33156
0.70000,0.03498,28.71200,0.00000,0.00000,0.35284
0.80000,0.04006,31.15809,0.00000,0.00000,0.38290
0.90000,0.04502,33.74559,0.00000,0.00000,0.41470
1.00000,0.04998,35.70087,0.00000,0.00001,0.43873
1.10000,0.05501,38.81500,0.00000,0.00000,0.47700
1.20000,0.05997,42.44727,0.00000,0.00000,0.52164
1.30000,0.06505,46.87101,0.00000,0.00000,0.57600
1.40000,0.06989,52.88878,0.00000,0.00000,0.64995
1.50000,0.07504,59.24143,0.00000,0.00000,0.72802
1.60000,0.07994,63.58639,0.00000,0.00000,0.78141
1.70000,0.08514,68.66544,0.00000,0.00000,0.84383
1.80000,0.08998,74.59638,0.00000,0.00000,0.91672
1.90000,0.09513,81.61277,0.00000,-0.00001,1.00294
2.00000,0.09997,86.95463,0.00000,0.00000,1.06859
2.10000,0.10511,93.90053,0.00000,-0.00001,1.15394
2.20000,0.10995,100.81454,0.00000,-0.00001,1.23891
2.30000,0.11509,111.04082,0.00000,-0.00001,1.36458
2.40000,0.11994,121.80143,0.00000,-0.00001,1.49682
2.50000,0.12502,133.62764,0.00000,-0.00001,1.64215
2.60000,0.12998,144.54795,0.00000,0.00000,1.77635
2.70000,0.13512,152.58401,0.00000,-0.00001,1.87511
2.80000,0.14003,160.09058,0.00000,-0.00001,1.96736
2.90000,0.14499,170.11663,0.00000,-0.00001,2.09057
3.00000,0.14995,181.37086,0.00000,-0.00001,2.22887
3.10000,0.15503,194.12077,0.00000,-0.00001,2.38555
3.20000,0.16006,210.23874,0.00000,-0.00001,2.58363
3.30000,0.16496,226.53919,0.00000,-0.00001,2.78394
3.40000,0.16998,245.40969,0.00000,-0.00001,3.01584
3.50000,0.17494,264.29184,0.00000,-0.00002,3.24789
3.60000,0.18009,285.52634,0.00000,-0.00002,3.50884
3.70000,0.18499,304.71301,0.00000,-0.00001,3.74462
3.80000,0.19013,329.04134,0.00000,-0.00001,4.04359
3.90000,0.19491,352.15912,0.00000,-0.00001,4.32769
4.00000,0.20012,377.51505,0.00000,-0.00001,4.63929
4.10000,0.20490,404.65570,0.00000,-0.00002,4.97282
4.20000,0.21010,436.96300,0.00000,-0.00001,5.36984
4.30000,0.21494,468.09507,0.00000,-0.00001,5.75243
4.40000,0.22003,501.56312,0.00000,-0.00001,6.16372
4.50000,0.22493,537.62058,0.00000,-0.00001,6.60683
4.60000,0.23013,573.18960,0.00000,-0.00001,7.04393
4.70000,0.23497,610.68581,0.00000,0.00000,7.50473
4.80000,0.24000,648.70953,0.00000,0.00000,7.97200
4.90000,0.24490,688.84813,0.00000,0.00000,8.46526
5.00000,0.25004,730.59164,0.00000,0.00000,8.97825
5.10000,0.25500,774.23323,0.00000,0.00000,9.51456
5.20000,0.26002,820.90870,0.00000,0.00001,10.08816
5.30000,0.26499,868.04619,0.00000,0.00001,10.66743
5.40000,0.27001,913.08961,0.00000,0.00002,11.22097
5.50000,0.27503,960.89477,0.00000,0.00002,11.80845
5.60000,0.28005,1008.26984,0.00000,0.00002,12.39064
5.70000,0.28502,1059.84788,0.00000,0.00002,13.02448
5.80000,0.28992,1107.85840,0.00000,0.00003,13.61449
5.90000,0.29506,1159.13870,0.00000,0.00003,14.24467
6.00000,0.29996,1208.25181,0.00000,0.00004,14.84822
6.10000,0.30511,1262.41427,0.00000,0.00005,15.51383
6.20000,0.30995,1313.33862,0.00000,0.00005,16.13964
6.30000,0.31503,1373.23616,0.00000,0.00005,16.87572
6.40000,0.31987,1435.87571,0.00000,0.00006,17.64550
6.50000,0.32514,1504.78547,0.00000,0.00007,18.49233
6.60000,0.32992,1570.25978,0.00000,0.00008,19.29694
6.70000,0.33500,1645.13234,0.00000,0.00009,20.21705
