Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,0.72379,0.00000,0.00000,0.00894
0.10000,0.00173,5.13797,0.00000,0.00000,0.06344
0.20000,0.00753,23.34906,0.00000,0.00000,0.28828
0.30000,0.01357,41.00633,0.00000,0.00000,0.50629
0.40000,0.01937,58.76838,0.00000,0.00001,0.72559
0.50000,0.02469,71.84239,0.00000,0.00001,0.88701
0.60000,0.03001,84.89868,0.00000,0.00001,1.04821
0.70000,0.03492,95.84074,0.00000,0.00001,1.18331
0.80000,0.04006,108.15723,0.00000,0.00001,1.33537
0.90000,0.04490,119.91041,0.00000,0.00001,1.48048
1.00000,0.05010,135.23248,0.00000,0.00001,1.66966
1.10000,0.05495,148.90324,0.00000,0.00001,1.83845
1.20000,0.06009,163.36712,0.00000,0.00001,2.01702
1.30000,0.06487,177.09720,0.00000,0.00001,2.18654
1.40000,0.07007,191.84313,0.00000,0.00001,2.36861
1.50000,0.07492,205.81679,0.00000,0.00001,2.54113
1.60000,0.08012,220.93493,0.00000,0.00001,2.72779
1.70000,0.08490,235.42328,0.00000,0.00001,2.90667
1.80000,0.09004,251.95330,0.00000,0.00000,3.11076
1.90000,0.09495,267.24311,0.00000,0.00000,3.29954
2.00000,0.10009,285.75906,0.00000,0.00001,3.52815
2.10000,0.10499,302.77923,0.00000,0.00001,3.73829
2.20000,0.11001,321.74005,0.00000,0.00001,3.97239
2.30000,0.11498,340.21896,0.00000,0.00001,4.20054
2.40000,0.12000,358.88888,0.00000,0.00001,4.43105
2.50000,0.12502,378.54067,0.00000,0.00001,4.67368
2.60000,0.12998,399.90451,0.00000,0.00002,4.93745
2.70000,0.13500,421.83185,0.00000,0.00002,5.20818
2.80000,0.13991,443.47234,0.00000,0.00002,5.47537
2.90000,0.14505,467.84868,0.00000,0.00002,5.77633
3.00000,0.14995,490.91810,0.00000,0.00002,6.06116
3.10000,0.15503,517.08370,0.00000,0.00002,6.38421
3.20000,0.15988,540.32132,0.00000,0.00003,6.67112
3.30000,0.16508,568.76726,0.00000,0.00003,7.02233
3.40000,0.16992,593.14896,0.00000,0.00003,7.32336
3.50000,0.17506,622.93098,0.00000,0.00003,7.69107
3.60000,0.17991,654.05834,0.00000,0.00003,8.07538
3.70000,0.18505,688.31365,0.00000,0.00003,8.49832
3.80000,0.18989,722.52671,0.00000,0.00003,8.92073
3.90000,0.19503,756.76879,0.00000,0.00003,9.34351
4.00000,0.20000,794.06621,0.00000,0.00004,9.80400
4.10000,0.20508,831.52708,0.00000,0.00004,10.26651
