Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00000,0.39212,0.00000,0.00000,0.00474
0.10000,0.00173,1.93679,0.00000,0.00000,0.02341
0.20000,0.00759,3.93653,0.00000,0.00000,0.04759
0.30000,0.01363,5.99145,0.00000,0.00001,0.07243
0.40000,0.01943,8.60646,0.00000,0.00001,0.10404
0.50000,0.02469,10.54833,0.00000,0.00000,0.12752
0.60000,0.03001,12.56408,0.00000,0.00000,0.15189
0.70000,0.03498,13.88367,0.00000,0.00001,0.16784
0.80000,0.04006,15.26656,0.00000,0.00001,0.18456
0.90000,0.04490,16.95158,0.00000,0.00001,0.20493
1.00000,0.05010,18.11245,0.00000,0.00001,0.21896
1.10000,0.05495,20.70509,0.00000,0.00001,0.25030
1.20000,0.06009,22.44405,0.00000,0.00001,0.27132
1.30000,0.06487,25.29674,0.00000,0.00001,0.30581
1.40000,0.07007,29.26695,0.00000,0.00001,0.35381
1.50000,0.07492,31.78412,0.00000,0.00002,0.38424
1.60000,0.08012,33.09603,0.00000,0.00001,0.40010
1.70000,0.08496,34.01395,0.00000,0.00002,0.41119
1.80000,0.09004,34.65544,0.00000,0.00002,0.41895
1.90000,0.09495,37.47257,0.00000,0.00002,0.45300
2.00000,0.10009,39.34722,0.00000,0.00002,0.47567
2.10000,0.10499,41.28850,0.00000,0.00001,0.49913
2.20000,0.11001,44.04120,0.00000,0.00002,0.53241
2.30000,0.11498,46.68031,0.00000,0.00002,0.56431
2.40000,0.12000,47.05915,0.00000,0.00002,0.56889
2.50000,0.12502,49.12255,0.00000,0.00002,0.59384
2.60000,0.12998,51.84090,0.00000,0.00002,0.62670
2.70000,0.13500,54.36935,0.00000,0.00002,0.65727
2.80000,0.13991,58.02892,0.00000,0.00002,0.70151
2.90000,0.14505,61.77224,0.00000,0.00003,0.74676
3.00000,0.14995,65.40898,0.00000,0.00003,0.79072
3.10000,0.15503,69.05463,0.00000,0.00003,0.83480
3.20000,0.15988,72.74126,0.00000,0.00003,0.87936
3.30000,0.16508,79.17121,0.00000,0.00003,0.95710
3.40000,0.16992,88.86839,0.00000,0.00003,1.07432
3.50000,0.17512,100.31697,0.00000,0.00004,1.21272
3.60000,0.17991,112.97981,0.00000,0.00004,1.36581
3.70000,0.18499,126.27869,0.00000,0.00004,1.52657
3.80000,0.18989,139.92349,0.00000,0.00005,1.69153
3.90000,0.19503,152.34427,0.00000,0.00005,1.84168
4.00000,0.20000,165.82509,0.00000,0.00006,2.00465
4.10000,0.20508,180.87671,0.00000,0.00006,2.18661
4.20000,0.20998,194.07779,0.00000,0.00007,2.34619
4.30000,0.21500,212.47328,0.00000,0.00008,2.56857
4.40000,0.21997,232.28324,0.00000,0.00009,2.80806
4.50000,0.22505,252.25426,0.00000,0.00009,3.04948
4.60000,0.22995,273.89005,0.00000,0.00011,3.31104
4.70000,0.23497,294.77682,0.00000,0.00012,3.56354
4.80000,0.23994,316.58132,0.00000,0.00013,3.82713
4.90000,0.24502,338.88619,0.00000,0.00014,4.09677
5.00000,0.25004,364.15067,0.00000,0.00015,4.40219
5.10000,0.25500,388.16584,0.00000,0.00017,4.69251
5.20000,0.26008,413.65451,0.00000,0.00018,5.00064
5.30000,0.26499,437.97907,0.00000,0.00019,5.29470
5.40000,0.27007,464.29425,0.00000,0.00020,5.61282
5.50000,0.27491,486.45781,0.00000,0.00021,5.88075
5.60000,0.28005,511.89959,0.00000,0.00022,6.18832
5.70000,0.28490,533.44313,0.00000,0.00023,6.44876
5.80000,0.29010,556.22472,0.00000,0.00024,6.72416
