Time,load,ext
sec,lbs,in
1.640000105,1.6313213,0.003503937
1.649999857,4.8939643,0.003515748
1.660000086,2.4469821,0.003523622
1.669999838,4.0783033,0.003531496
1.680000067,4.8939643,0.00353937
1.689999819,2.4469821,0.003551181
1.700000048,4.8939643,0.003559055
1.7099998,3.2626426,0.003566929
1.720000029,4.8939643,0.003574803
1.729999781,5.709625,0.003582677
1.74000001,4.0783033,0.003590551
1.749999762,6.5252852,0.003598425
1.75999999,4.8939643,0.003606299
1.769999743,6.5252852,0.003614173
1.779999971,6.5252852,0.003625984
1.7900002,5.709625,0.003633858
1.799999952,8.156607,0.003641732
1.810000181,6.5252852,0.003649606
1.819999933,8.156607,0.003657481
1.830000162,8.156607,0.003665355
1.839999914,7.340946,0.003673228
1.850000143,9.787929,0.003681102
1.859999895,7.340946,0.003688976
1.870000124,8.972268,0.003696851
1.879999876,10.603588,0.003704725
1.890000105,8.972268,0.003712599
1.899999857,10.603588,0.003720473
1.910000086,9.787929,0.003728346
1.919999838,11.41925,0.003736221
1.930000067,11.41925,0.003744094
1.939999819,10.603588,0.003755905
1.950000048,13.0505705,0.00376378
1.9599998,11.41925,0.003771654
1.970000029,13.0505705,0.003783464
1.979999781,13.866231,0.003791339
1.99000001,11.41925,0.003799213
1.999999762,14.681892,0.003807087
2.00999999,13.0505705,0.003818898
2.019999743,13.866231,0.003826772
2.029999971,14.681892,0.003834646
2.0400002,13.0505705,0.00384252
2.049999952,16.313213,0.003850394
2.060000181,14.681892,0.003858268
2.069999933,16.313213,0.003866142
2.080000162,16.313213,0.003874016
2.089999914,14.681892,0.00388189
2.100000143,17.128874,0.003889764
2.109999895,15.497553,0.003897638
2.120000124,17.128874,0.003905512
2.129999876,17.944536,0.003913386
2.140000105,16.313213,0.00392126
2.149999857,18.760195,0.003929134
2.160000086,16.313213,0.003937008
2.169999838,17.944536,0.003944882
2.180000067,18.760195,0.003952756
2.189999819,17.128874,0.00396063
2.200000048,18.760195,0.003972441
2.2099998,17.944536,0.003980315
2.220000029,19.575857,0.003988189
2.229999781,19.575857,0.004
2.24000001,18.760195,0.004007874
2.249999762,21.207176,0.004015748
2.25999999,19.575857,0.004027559
2.269999743,21.207176,0.004035433
2.279999971,21.207176,0.004043307
2.2900002,20.391518,0.004051181
2.299999952,22.8385,0.004062992
2.310000181,21.207176,0.004070866
2.319999933,22.8385,0.00407874
2.330000162,22.8385,0.004086614
2.339999914,22.022839,0.004094488
2.350000143,24.46982,0.004102362
2.359999895,22.8385,0.004110236
2.370000124,23.65416,0.004118111
2.379999876,23.65416,0.004125984
2.390000105,23.65416,0.004133858
2.399999857,25.285482,0.004141733
2.410000086,24.46982,0.004149607
2.419999838,25.285482,0.00415748
2.430000067,26.101141,0.004165354
2.439999819,24.46982,0.004173229
2.450000048,26.916803,0.004181102
