File Path: C:\MTS TestSuite\Data Files\Test Run 9 2-5-2014 4 26 50 PM\DAQ- Time, … - (Timed).txt   
Test: MTS EM Tension (Extensometer)and outputs stress trigger n stress loops neal 2
Test Run: Test Run 9
Date: 2/5/2014 4:17:57 PM


Time 	Load 	Crosshead 	Extensometer 	Strain 	Stress 
sec	kN	mm	mm	mm/mm	kN/mm²
5.72399997711182	4.473240234375	0.280699692666531	0.0392628062400036	0.0015455458778888	0.072584072
5.82399988174438	4.55312158203125	0.285702612018213	0.0398693628085312	0.00156941043678671	0.073880248
5.92399978637695	4.631654296875	0.290705531369895	0.0404713355237618	0.00159311213064939	0.075154544
6.02400016784668	4.70926171875	0.295648904284462	0.0410794855270069	0.00161710765678436	0.076413824
6.12400007247925	4.78886083984375	0.300651823636144	0.041689596400829	0.00164107116870582	0.077705424
6.22399997711182	4.8670009765625	0.305654742987826	0.0422793127654586	0.0016643323469907	0.078973344
6.32399988174438	4.94672509765625	0.310657662339509	0.0428879975515883	0.00168825662694871	0.080266976
6.42399978637695	5.0260185546875	0.315720157232136	0.043489988456713	0.00171201082412153	0.081553608
6.52400016784668	5.102703125	0.320603954605758	0.0440813055320177	0.00173525232821703	0.08279792
6.62400007247925	5.1822509765625	0.32560687395744	0.0446753438154701	0.00175868393853307	0.08408868
6.72399997711182	5.25947509765625	0.330550246872008	0.0452716703875922	0.00178202951792628	0.085341744
6.82399988174438	5.33769482421875	0.335493590682745	0.0458589966001455	0.00180523667950183	0.08661096
6.92399978637695	5.4160478515625	0.340496510034427	0.0464445547549985	0.00182823336217552	0.087882336
7.02400016784668	5.49371044921875	0.345439882948995	0.0470331251563039	0.00185146951116621	0.089142512
7.12400007247925	5.57189404296875	0.350442802300677	0.0476138811791316	0.00187433743849397	0.090411144
7.22399997711182	5.65001416015625	0.355445721652359	0.048191228415817	0.00189708697143942	0.091678744
7.32399988174438	5.72757470703125	0.360389094566926	0.0487681463710032	0.00191980868112296	0.092937264
7.42399978637695	5.80584033203125	0.365392013918608	0.0493533480039332	0.00194286799523979	0.094207224
7.52400016784668	5.88134814453125	0.370335386833176	0.0499201887578238	0.00196512509137392	0.095432432
7.62400007247925	5.95946875	0.375338306184858	0.0504959971294738	0.00198777066543698	0.09670004
7.72399997711182	6.0378857421875	0.38034122553654	0.0510739992023446	0.00201053987257183	0.097972456
7.82399988174438	6.11389111328125	0.385284598451108	0.0516343716299161	0.00203259754925966	0.099205744
7.92399978637695	6.1915703125	0.390347064239904	0.0522113550687209	0.00205540680326521	0.100466184
8.02400016784668	6.26793017578125	0.395349983591586	0.0527643787791021	0.00207715621218085	0.101705224
8.12399959564209	6.34410205078125	0.400293356506154	0.0533247512066737	0.00209920923225582	0.102941208
8.22399997711182	6.421255859375	0.405355851398781	0.0538810782018118	0.00212109112180769	0.104193128
8.32400035858154	6.49515185546875	0.410239648772404	0.0544367139809765	0.00214297161437571	0.105392184
8.42399978637695	6.57247900390625	0.415183021686971	0.0549924443475902	0.00216481671668589	0.10664692
8.52400016784668	6.64806884765625	0.420185941038653	0.0555468868697062	0.00218670745380223	0.107873464
8.62399959564209	6.72393310546875	0.42512928484939	0.0561072665732354	0.00220876606181264	0.109104456
8.72399997711182	6.8003466796875	0.430191779742017	0.0566649141546804	0.00223071034997702	0.110344368
8.82400035858154	6.87483251953125	0.43507557711564	0.05720437184209	0.00225190119817853	0.111552992
8.92399978637695	6.950775390625	0.440078496467322	0.0577497157792095	0.00227347598411143	0.112785264
9.02400016784668	7.02563330078125	0.445081415819004	0.058299472584622	0.0022949913982302	0.113999928
9.12399959564209	7.10030078125	0.449965242296457	0.0588342227274552	0.00231610285118222	0.115211504
9.22399997711182	7.17497412109375	0.454968161648139	0.0593724398640916	0.00233725761063397	0.116423176
9.32400035858154	7.2496064453125	0.459911505458876	0.0599108461756259	0.00235847500152886	0.117634184
9.42399978637695	7.3237109375	0.464914424810559	0.0604530032433104	0.00237979064695537	0.118836624
9.52400016784668	7.40038525390625	0.469976919703186	0.0609991875535343	0.0024013186339289	0.12008076
